start_timestamp,end_timestamp,marketprice,unit,country
2022-11-18 06:00:00,2022-11-18 07:00:00,271.41,Eur/MWh,at
2022-11-18 07:00:00,2022-11-18 08:00:00,295.1,Eur/MWh,at
2022-11-18 08:00:00,2022-11-18 09:00:00,295.1,Eur/MWh,at
2022-11-18 09:00:00,2022-11-18 10:00:00,281.26,Eur/MWh,at
2022-11-18 10:00:00,2022-11-18 11:00:00,285.94,Eur/MWh,at
2022-11-18 11:00:00,2022-11-18 12:00:00,280.07,Eur/MWh,at
2022-11-18 12:00:00,2022-11-18 13:00:00,271.31,Eur/MWh,at
2022-11-18 13:00:00,2022-11-18 14:00:00,284.7,Eur/MWh,at
2022-11-18 14:00:00,2022-11-18 15:00:00,272.11,Eur/MWh,at
2022-11-18 15:00:00,2022-11-18 16:00:00,272.99,Eur/MWh,at
2022-11-18 16:00:00,2022-11-18 17:00:00,288.62,Eur/MWh,at
2022-11-18 17:00:00,2022-11-18 18:00:00,259.21,Eur/MWh,at
2022-11-18 18:00:00,2022-11-18 19:00:00,251.06,Eur/MWh,at
2022-11-18 19:00:00,2022-11-18 20:00:00,212.19,Eur/MWh,at
2022-11-18 20:00:00,2022-11-18 21:00:00,197.63,Eur/MWh,at
2022-11-18 21:00:00,2022-11-18 22:00:00,219.65,Eur/MWh,at
2022-11-18 22:00:00,2022-11-18 23:00:00,205.01,Eur/MWh,at
2022-11-18 23:00:00,2022-11-19 00:00:00,178.63,Eur/MWh,at
2022-11-19 00:00:00,2022-11-19 01:00:00,163.95,Eur/MWh,at
2022-11-19 01:00:00,2022-11-19 02:00:00,163.88,Eur/MWh,at
2022-11-19 02:00:00,2022-11-19 03:00:00,156.02,Eur/MWh,at
2022-11-19 03:00:00,2022-11-19 04:00:00,144.12,Eur/MWh,at
2022-11-19 04:00:00,2022-11-19 05:00:00,150.03,Eur/MWh,at
2022-11-19 05:00:00,2022-11-19 06:00:00,157.92,Eur/MWh,at
2022-11-19 06:00:00,2022-11-19 07:00:00,205.03,Eur/MWh,at
2022-11-19 07:00:00,2022-11-19 08:00:00,205.7,Eur/MWh,at
2022-11-19 08:00:00,2022-11-19 09:00:00,215.07,Eur/MWh,at
2022-11-19 09:00:00,2022-11-19 10:00:00,205.07,Eur/MWh,at
2022-11-19 10:00:00,2022-11-19 11:00:00,215.07,Eur/MWh,at
2022-11-19 11:00:00,2022-11-19 12:00:00,214.22,Eur/MWh,at
2022-11-19 12:00:00,2022-11-19 13:00:00,209.34,Eur/MWh,at
2022-11-19 13:00:00,2022-11-19 14:00:00,213.34,Eur/MWh,at
2022-11-19 14:00:00,2022-11-19 15:00:00,227.11,Eur/MWh,at
2022-11-19 15:00:00,2022-11-19 16:00:00,243.39,Eur/MWh,at
2022-11-19 16:00:00,2022-11-19 17:00:00,281.98,Eur/MWh,at
2022-11-19 17:00:00,2022-11-19 18:00:00,287.29,Eur/MWh,at
2022-11-19 18:00:00,2022-11-19 19:00:00,260.7,Eur/MWh,at
2022-11-19 19:00:00,2022-11-19 20:00:00,240.0,Eur/MWh,at
2022-11-19 20:00:00,2022-11-19 21:00:00,232.05,Eur/MWh,at
2022-11-19 21:00:00,2022-11-19 22:00:00,218.94,Eur/MWh,at
2022-11-19 22:00:00,2022-11-19 23:00:00,205.01,Eur/MWh,at
2022-11-19 23:00:00,2022-11-20 00:00:00,194.67,Eur/MWh,at
2022-11-20 00:00:00,2022-11-20 01:00:00,178.87,Eur/MWh,at
2022-11-20 01:00:00,2022-11-20 02:00:00,184.1,Eur/MWh,at
2022-11-20 02:00:00,2022-11-20 03:00:00,177.36,Eur/MWh,at
2022-11-20 03:00:00,2022-11-20 04:00:00,170.68,Eur/MWh,at
2022-11-20 04:00:00,2022-11-20 05:00:00,175.88,Eur/MWh,at
2022-11-20 05:00:00,2022-11-20 06:00:00,180.08,Eur/MWh,at
2022-11-20 06:00:00,2022-11-20 07:00:00,194.19,Eur/MWh,at
2022-11-20 07:00:00,2022-11-20 08:00:00,200.03,Eur/MWh,at
2022-11-20 08:00:00,2022-11-20 09:00:00,215.03,Eur/MWh,at
2022-11-20 09:00:00,2022-11-20 10:00:00,212.03,Eur/MWh,at
2022-11-20 10:00:00,2022-11-20 11:00:00,217.99,Eur/MWh,at
2022-11-20 11:00:00,2022-11-20 12:00:00,210.05,Eur/MWh,at
2022-11-20 12:00:00,2022-11-20 13:00:00,198.85,Eur/MWh,at
2022-11-20 13:00:00,2022-11-20 14:00:00,205.15,Eur/MWh,at
2022-11-20 14:00:00,2022-11-20 15:00:00,224.6,Eur/MWh,at
2022-11-20 15:00:00,2022-11-20 16:00:00,241.95,Eur/MWh,at
2022-11-20 16:00:00,2022-11-20 17:00:00,267.37,Eur/MWh,at
2022-11-20 17:00:00,2022-11-20 18:00:00,273.0,Eur/MWh,at
2022-11-20 18:00:00,2022-11-20 19:00:00,266.44,Eur/MWh,at
2022-11-20 19:00:00,2022-11-20 20:00:00,244.9,Eur/MWh,at
2022-11-20 20:00:00,2022-11-20 21:00:00,215.1,Eur/MWh,at
2022-11-20 21:00:00,2022-11-20 22:00:00,212.03,Eur/MWh,at
2022-11-20 22:00:00,2022-11-20 23:00:00,169.45,Eur/MWh,at
2022-11-20 23:00:00,2022-11-21 00:00:00,138.24,Eur/MWh,at
2022-11-21 00:00:00,2022-11-21 01:00:00,140.38,Eur/MWh,at
2022-11-21 01:00:00,2022-11-21 02:00:00,147.15,Eur/MWh,at
2022-11-21 02:00:00,2022-11-21 03:00:00,141.43,Eur/MWh,at
2022-11-21 03:00:00,2022-11-21 04:00:00,153.92,Eur/MWh,at
2022-11-21 04:00:00,2022-11-21 05:00:00,167.52,Eur/MWh,at
2022-11-21 05:00:00,2022-11-21 06:00:00,270.0,Eur/MWh,at
2022-11-21 06:00:00,2022-11-21 07:00:00,311.51,Eur/MWh,at
2022-11-21 07:00:00,2022-11-21 08:00:00,324.05,Eur/MWh,at
2022-11-21 08:00:00,2022-11-21 09:00:00,308.15,Eur/MWh,at
2022-11-21 09:00:00,2022-11-21 10:00:00,294.72,Eur/MWh,at
2022-11-21 10:00:00,2022-11-21 11:00:00,307.53,Eur/MWh,at
2022-11-21 11:00:00,2022-11-21 12:00:00,299.82,Eur/MWh,at
2022-11-21 12:00:00,2022-11-21 13:00:00,302.32,Eur/MWh,at
2022-11-21 13:00:00,2022-11-21 14:00:00,332.02,Eur/MWh,at
2022-11-21 14:00:00,2022-11-21 15:00:00,324.7,Eur/MWh,at
2022-11-21 15:00:00,2022-11-21 16:00:00,322.23,Eur/MWh,at
2022-11-21 16:00:00,2022-11-21 17:00:00,330.33,Eur/MWh,at
2022-11-21 17:00:00,2022-11-21 18:00:00,315.41,Eur/MWh,at
2022-11-21 18:00:00,2022-11-21 19:00:00,289.99,Eur/MWh,at
2022-11-21 19:00:00,2022-11-21 20:00:00,263.96,Eur/MWh,at
2022-11-21 20:00:00,2022-11-21 21:00:00,220.0,Eur/MWh,at
2022-11-21 21:00:00,2022-11-21 22:00:00,199.93,Eur/MWh,at
2022-11-21 22:00:00,2022-11-21 23:00:00,159.69,Eur/MWh,at
2022-11-21 23:00:00,2022-11-22 00:00:00,134.54,Eur/MWh,at
2022-11-22 00:00:00,2022-11-22 01:00:00,123.5,Eur/MWh,at
2022-11-22 01:00:00,2022-11-22 02:00:00,99.97,Eur/MWh,at
2022-11-22 02:00:00,2022-11-22 03:00:00,82.91,Eur/MWh,at
2022-11-22 03:00:00,2022-11-22 04:00:00,92.67,Eur/MWh,at
2022-11-22 04:00:00,2022-11-22 05:00:00,155.64,Eur/MWh,at
2022-11-22 05:00:00,2022-11-22 06:00:00,212.94,Eur/MWh,at
2022-11-22 06:00:00,2022-11-22 07:00:00,255.9,Eur/MWh,at
2022-11-22 07:00:00,2022-11-22 08:00:00,263.16,Eur/MWh,at
2022-11-22 08:00:00,2022-11-22 09:00:00,264.14,Eur/MWh,at
2022-11-22 09:00:00,2022-11-22 10:00:00,242.2,Eur/MWh,at
2022-11-22 10:00:00,2022-11-22 11:00:00,260.0,Eur/MWh,at
2022-11-22 11:00:00,2022-11-22 12:00:00,262.32,Eur/MWh,at
2022-11-22 12:00:00,2022-11-22 13:00:00,267.89,Eur/MWh,at
2022-11-22 13:00:00,2022-11-22 14:00:00,268.63,Eur/MWh,at
2022-11-22 14:00:00,2022-11-22 15:00:00,262.32,Eur/MWh,at
2022-11-22 15:00:00,2022-11-22 16:00:00,262.32,Eur/MWh,at
2022-11-22 16:00:00,2022-11-22 17:00:00,284.96,Eur/MWh,at
2022-11-22 17:00:00,2022-11-22 18:00:00,294.9,Eur/MWh,at
2022-11-22 18:00:00,2022-11-22 19:00:00,282.23,Eur/MWh,at
2022-11-22 19:00:00,2022-11-22 20:00:00,251.85,Eur/MWh,at
2022-11-22 20:00:00,2022-11-22 21:00:00,215.06,Eur/MWh,at
2022-11-22 21:00:00,2022-11-22 22:00:00,199.51,Eur/MWh,at
2022-11-22 22:00:00,2022-11-22 23:00:00,162.24,Eur/MWh,at
2022-11-22 23:00:00,2022-11-23 00:00:00,151.88,Eur/MWh,at
2022-11-23 00:00:00,2022-11-23 01:00:00,135.16,Eur/MWh,at
2022-11-23 01:00:00,2022-11-23 02:00:00,123.81,Eur/MWh,at
2022-11-23 02:00:00,2022-11-23 03:00:00,118.8,Eur/MWh,at
2022-11-23 03:00:00,2022-11-23 04:00:00,123.91,Eur/MWh,at
2022-11-23 04:00:00,2022-11-23 05:00:00,154.58,Eur/MWh,at
2022-11-23 05:00:00,2022-11-23 06:00:00,209.84,Eur/MWh,at
2022-11-23 06:00:00,2022-11-23 07:00:00,258.46,Eur/MWh,at
2022-11-23 07:00:00,2022-11-23 08:00:00,268.55,Eur/MWh,at
2022-11-23 08:00:00,2022-11-23 09:00:00,248.84,Eur/MWh,at
2022-11-23 09:00:00,2022-11-23 10:00:00,262.46,Eur/MWh,at
2022-11-23 10:00:00,2022-11-23 11:00:00,272.54,Eur/MWh,at
2022-11-23 11:00:00,2022-11-23 12:00:00,262.85,Eur/MWh,at
2022-11-23 12:00:00,2022-11-23 13:00:00,258.07,Eur/MWh,at
2022-11-23 13:00:00,2022-11-23 14:00:00,271.98,Eur/MWh,at
2022-11-23 14:00:00,2022-11-23 15:00:00,279.04,Eur/MWh,at
2022-11-23 15:00:00,2022-11-23 16:00:00,284.97,Eur/MWh,at
2022-11-23 16:00:00,2022-11-23 17:00:00,284.98,Eur/MWh,at
2022-11-23 17:00:00,2022-11-23 18:00:00,269.8,Eur/MWh,at
2022-11-23 18:00:00,2022-11-23 19:00:00,264.54,Eur/MWh,at
2022-11-23 19:00:00,2022-11-23 20:00:00,215.08,Eur/MWh,at
2022-11-23 20:00:00,2022-11-23 21:00:00,203.69,Eur/MWh,at
2022-11-23 21:00:00,2022-11-23 22:00:00,212.09,Eur/MWh,at
2022-11-23 22:00:00,2022-11-23 23:00:00,195.04,Eur/MWh,at
2022-11-23 23:00:00,2022-11-24 00:00:00,156.54,Eur/MWh,at
2022-11-24 00:00:00,2022-11-24 01:00:00,197.96,Eur/MWh,at
2022-11-24 01:00:00,2022-11-24 02:00:00,186.51,Eur/MWh,at
2022-11-24 02:00:00,2022-11-24 03:00:00,168.6,Eur/MWh,at
2022-11-24 03:00:00,2022-11-24 04:00:00,201.04,Eur/MWh,at
2022-11-24 04:00:00,2022-11-24 05:00:00,216.01,Eur/MWh,at
2022-11-24 05:00:00,2022-11-24 06:00:00,265.38,Eur/MWh,at
2022-11-24 06:00:00,2022-11-24 07:00:00,300.89,Eur/MWh,at
2022-11-24 07:00:00,2022-11-24 08:00:00,310.74,Eur/MWh,at
2022-11-24 08:00:00,2022-11-24 09:00:00,294.94,Eur/MWh,at
2022-11-24 09:00:00,2022-11-24 10:00:00,295.02,Eur/MWh,at
2022-11-24 10:00:00,2022-11-24 11:00:00,289.9,Eur/MWh,at
2022-11-24 11:00:00,2022-11-24 12:00:00,279.45,Eur/MWh,at
2022-11-24 12:00:00,2022-11-24 13:00:00,280.99,Eur/MWh,at
2022-11-24 13:00:00,2022-11-24 14:00:00,294.92,Eur/MWh,at
2022-11-24 14:00:00,2022-11-24 15:00:00,309.9,Eur/MWh,at
2022-11-24 15:00:00,2022-11-24 16:00:00,308.93,Eur/MWh,at
2022-11-24 16:00:00,2022-11-24 17:00:00,322.82,Eur/MWh,at
2022-11-24 17:00:00,2022-11-24 18:00:00,300.1,Eur/MWh,at
2022-11-24 18:00:00,2022-11-24 19:00:00,286.02,Eur/MWh,at
2022-11-24 19:00:00,2022-11-24 20:00:00,261.56,Eur/MWh,at
2022-11-24 20:00:00,2022-11-24 21:00:00,229.94,Eur/MWh,at
2022-11-24 21:00:00,2022-11-24 22:00:00,217.1,Eur/MWh,at
2022-11-24 22:00:00,2022-11-24 23:00:00,202.8,Eur/MWh,at
2022-11-24 23:00:00,2022-11-25 00:00:00,212.03,Eur/MWh,at
2022-11-25 00:00:00,2022-11-25 01:00:00,175.19,Eur/MWh,at
2022-11-25 01:00:00,2022-11-25 02:00:00,163.07,Eur/MWh,at
2022-11-25 02:00:00,2022-11-25 03:00:00,151.82,Eur/MWh,at
2022-11-25 03:00:00,2022-11-25 04:00:00,181.88,Eur/MWh,at
2022-11-25 04:00:00,2022-11-25 05:00:00,223.07,Eur/MWh,at
2022-11-25 05:00:00,2022-11-25 06:00:00,256.84,Eur/MWh,at
2022-11-25 06:00:00,2022-11-25 07:00:00,307.92,Eur/MWh,at
2022-11-25 07:00:00,2022-11-25 08:00:00,321.93,Eur/MWh,at
2022-11-25 08:00:00,2022-11-25 09:00:00,307.99,Eur/MWh,at
2022-11-25 09:00:00,2022-11-25 10:00:00,293.98,Eur/MWh,at
2022-11-25 10:00:00,2022-11-25 11:00:00,301.68,Eur/MWh,at
2022-11-25 11:00:00,2022-11-25 12:00:00,288.77,Eur/MWh,at
2022-11-25 12:00:00,2022-11-25 13:00:00,286.54,Eur/MWh,at
2022-11-25 13:00:00,2022-11-25 14:00:00,290.9,Eur/MWh,at
2022-11-25 14:00:00,2022-11-25 15:00:00,316.12,Eur/MWh,at
2022-11-25 15:00:00,2022-11-25 16:00:00,327.36,Eur/MWh,at
2022-11-25 16:00:00,2022-11-25 17:00:00,349.9,Eur/MWh,at
2022-11-25 17:00:00,2022-11-25 18:00:00,337.95,Eur/MWh,at
2022-11-25 18:00:00,2022-11-25 19:00:00,319.99,Eur/MWh,at
2022-11-25 19:00:00,2022-11-25 20:00:00,290.4,Eur/MWh,at
2022-11-25 20:00:00,2022-11-25 21:00:00,266.32,Eur/MWh,at
2022-11-25 21:00:00,2022-11-25 22:00:00,269.92,Eur/MWh,at
2022-11-25 22:00:00,2022-11-25 23:00:00,226.03,Eur/MWh,at
2022-11-25 23:00:00,2022-11-26 00:00:00,212.77,Eur/MWh,at
2022-11-26 00:00:00,2022-11-26 01:00:00,210.7,Eur/MWh,at
2022-11-26 01:00:00,2022-11-26 02:00:00,202.06,Eur/MWh,at
2022-11-26 02:00:00,2022-11-26 03:00:00,200.0,Eur/MWh,at
2022-11-26 03:00:00,2022-11-26 04:00:00,197.99,Eur/MWh,at
2022-11-26 04:00:00,2022-11-26 05:00:00,211.94,Eur/MWh,at
2022-11-26 05:00:00,2022-11-26 06:00:00,214.94,Eur/MWh,at
2022-11-26 06:00:00,2022-11-26 07:00:00,228.07,Eur/MWh,at
